Strategy,EntryTimestamp,ExitTimestamp,Symbol,Timeframe,Setup,Regime,Volatility,Bias,Confidence,PnL_Pct,R_Multiple,Result,EMA30,EMA100,EntryPrice,FlowAlignment,VolumeZ15m,OIZ15m
v2_balanced_current,2026-04-10T23:57:47.299843+00:00,2026-04-11T03:57:51.901254+00:00,ARBUSDT,4h,Continuation,Trending,High,Bullish,0.8721,2.0042,0.495,win,0.103116,0.097574,0.1163,0.7434,-0.2947,-0.7924
v2_balanced_current,2026-04-15T11:55:50.955164+00:00,2026-04-16T15:59:03.950944+00:00,ARBUSDT,4h,Continuation,Trending,High,Bullish,0.8027,4.2668,1.545,win,0.11054,0.103751,0.1134,0.7007,-0.2074,-1.0484
v2_balanced_current,2026-04-17T03:58:46.026191+00:00,2026-04-17T05:11:57.471025+00:00,ARBUSDT,15m,Continuation,Balanced,High,Bullish,0.8215,-0.3297,-0.4148,loss,0.1278,0.123986,0.1286,0.6673,0.0735,2.3191
v2_balanced_current,2026-05-07T06:58:16.349526+00:00,2026-05-07T07:56:32.609409+00:00,ARBUSDT,1h,Continuation,Trending,High,Bullish,0.8559,-0.3894,-0.1108,open,0.125526,0.126439,0.1284,0.9132,1.2996,2.3453
v2_balanced_current,2026-04-24T11:59:59.999000+00:00,2026-04-24T15:59:59.999000+00:00,WCTUSDT,4h,Continuation,Trending,High,Bullish,0.8341,1.4637,0.495,win,0.05961,0.059688,0.06091,0.7461,0.0,0.0
v2_balanced_current,2026-04-25T21:59:59.999000+00:00,2026-04-26T04:59:59.999000+00:00,WCTUSDT,1h,Continuation,Trending,High,Bullish,0.9,1.9939,0.5535,win,0.064206,0.06131,0.06847,0.9043,-0.5112,-0.28
v2_balanced_current,2026-04-13T16:44:59.999000+00:00,2026-04-13T17:44:59.999000+00:00,WETUSDT,15m,Continuation,Trending,High,Bullish,0.8592,-2.2042,-0.3855,loss,0.139056,0.124107,0.14926,0.8041,0.3501,0.7423
v2_balanced_current,2026-04-14T11:59:41.857830+00:00,2026-04-14T19:58:38.393843+00:00,PENGUUSDT,4h,Continuation,Trending,High,Bullish,0.9041,-3.6455,-1.0,loss,0.006692,0.006488,0.007106,1.0,0.836,-0.5731
v2_balanced_current,2026-04-15T19:55:08.967983+00:00,2026-04-16T19:59:21.500080+00:00,PENGUUSDT,4h,Continuation,Trending,High,Bullish,0.808,6.7498,1.495,win,0.006811,0.006559,0.007193,0.7312,1.0452,1.8895
v2_balanced_current,2026-04-17T10:07:06.784152+00:00,2026-04-19T11:58:47.324871+00:00,PENGUUSDT,4h,Continuation,Trending,High,Bullish,0.8575,-4.6538,-1.0,loss,0.007191,0.006743,0.007722,0.7203,0.0755,0.4782
